#{"t_start": 1764217514.1654038, "env_id": "CarRacing-v3"}
r,l,t
168.774704,1000,5371.492373
282.352941,1000,5381.355244
355.737705,1000,5390.882757
218.537363,442,5395.135451
535.738832,1000,5405.257397
31.12119,437,5409.703559
140.090141,417,5413.632482
240.163934,1000,5423.198806
445.83452,806,5431.541425
334.782609,1000,5441.454195
488.628763,1000,5451.178361
326.116838,1000,5461.116894
138.410596,1000,5470.52583
248.484848,1000,5480.094173
278.841509,439,5484.244856
412.280702,1000,5494.195832
192.993631,1000,5503.711403
92.556098,423,5508.033414
35.590683,260,5510.675228
34.42623,1000,5520.229868
284.341637,1000,5529.888332
557.038721,636,5536.266598
137.5,1000,5546.002423
560.583942,1000,5555.790542
388.970588,1000,5565.477102
43.695015,1000,5575.529342
-29.292929,1000,5584.666298
17.216117,1000,5594.026786
420.545455,541,5599.143004
455.555556,1000,5609.351699
161.744966,1000,5619.396693
398.084291,1000,5628.763606
128.125,1000,5638.528177
332.885906,1000,5648.891703
246.666667,1000,5657.889562
463.974144,597,5663.389731
567.896679,1000,5673.225257
559.722222,1000,5683.289409
335.114504,1000,5692.903789
373.846154,1000,5702.815656
41.221374,1000,5712.099316
777.146043,654,5718.568666
41.843972,1000,5728.066554
202.631579,1000,5737.661035
477.777778,1000,5746.987534
150.896057,1000,5756.466053
269.281046,1000,5766.56626
195.857988,1000,5776.327294
170.27027,1000,5786.214328
460.126582,1000,5796.284686
170.27027,1000,5806.074875
335.087719,1000,5815.689237
10.701107,1000,5825.24533
71.821306,1000,5834.869073
330.471698,451,5839.259197
365.703971,1000,5848.66071
101.863158,910,5857.682087
272.54902,1000,5867.485287
752.348993,1000,5877.331338
27.472414,278,5880.25498
575.090253,1000,5889.984552
232.369942,1000,5900.041565
633.333333,1000,5909.524637
490.759076,1000,5919.028768
850.381679,1000,5928.230389
782.200709,718,5934.967242
325.531915,1000,5944.609881
254.760784,473,5949.122033
724.742268,1000,5958.627826
743.098507,973,5968.60663
62.905797,256,5971.477635
368.75,1000,5981.201427
62.698413,1000,5990.793194
478.397213,1000,6000.527775
627.891156,1000,6010.232164
261.01083,1000,6020.219186
566.666667,1000,6030.542606
870.909091,1000,6040.340416
443.75,1000,6050.380122
169.883436,431,6054.520036
241.055319,633,6060.881442
437.567376,831,6069.002757
68.582375,1000,6078.205659
771.698113,1000,6087.716465
212.121212,1000,6097.699224
257.366771,1000,6107.750988
30.151301,298,6110.570635
298.601399,1000,6120.221873
237.773154,583,6125.720449
636.654804,1000,6135.499526
222.042105,399,6139.371737
501.265823,1000,6149.167853
-6.164706,570,6154.543005
34.810601,243,6157.023041
206.896552,1000,6166.95473
243.342169,423,6171.00448
320.711974,1000,6181.114396
132.919255,1000,6191.395633
259.872611,1000,6201.168707
480.882353,1000,6211.118108
935.2,648,6217.37228
342.906574,1000,6227.435177
460.606061,1000,6237.132292
201.262712,446,6241.89343
294.578313,1000,6251.782858
57.694662,239,6254.240057
670.318021,1000,6264.385256
605.673759,1000,6274.512845
241.770609,741,6281.698931
366.442953,1000,6291.522393
438.20598,1000,6301.504304
822.509225,1000,6311.308963
360.410557,1000,6321.403819
467.010309,1000,6331.618237
340.892332,640,6338.042437
259.337705,965,6347.436494
-7.534247,1000,6357.274968
154.491018,1000,6367.223178
250.0,1000,6376.882946
420.675087,642,6383.274387
250.16835,1000,6393.057543
708.441558,1000,6403.109453
289.028975,457,6407.514376
87.919463,1000,6417.539687
298.648649,1000,6427.245235
196.875,1000,6437.133475
596.245734,1000,6447.0989
356.146377,512,6452.174496
502.564103,1000,6462.343726
536.666667,1000,6472.255418
38.418079,1000,6481.985447
185.993976,876,6490.44649
702.675585,1000,6500.324045
19.243972,227,6502.60695
192.682927,1000,6512.443893
574.329502,1000,6522.344582
184.629412,390,6526.17672
62.170543,201,6528.257115
336.511268,988,6537.711662
258.982418,587,6543.774392
325.087108,1000,6553.604237
324.050633,1000,6563.4934
601.388889,1000,6573.479753
