#{"t_start": 1764011848.044468, "env_id": "CarRacing-v3"}
r,l,t
918.0,820,15417.494187
908.8,912,15426.995689
174.330435,649,15439.793602
914.6,854,15448.796738
919.0,810,15457.134476
300.611621,1000,15473.392771
913.6,864,15482.401554
919.0,810,15496.61912
338.547486,1000,15507.537626
628.476821,1000,15523.896313
736.120401,1000,15534.742384
909.8,902,15551.635653
782.758621,1000,15564.009463
912.2,878,15575.840367
854.545455,1000,15593.367695
914.8,852,15603.028194
896.69967,1000,15619.952498
912.2,878,15630.463643
471.917808,1000,15647.834111
922.2,778,15655.99151
831.232092,1000,15674.185517
742.293907,1000,15684.906183
450.359712,1000,15701.240967
912.9,871,15710.278865
267.346939,1000,15727.083608
840.074906,1000,15737.246649
688.643533,1000,15754.080758
536.054422,1000,15764.314969
254.651163,1000,15774.770867
915.6,844,15789.344881
273.584906,1000,15799.604239
795.973154,1000,15816.175924
614.285714,1000,15826.415841
525.85034,1000,15843.624919
868.152866,1000,15855.462473
833.333333,1000,15872.838648
772.50996,1000,15883.292533
644.827586,1000,15899.51938
905.2,948,15909.199545
882.078853,1000,15925.640461
255.311355,1000,15935.61854
896.226415,1000,15951.893239
908.6,914,15961.861632
882.300885,1000,15978.4794
767.816092,1000,15989.607778
847.565543,1000,16005.934655
910.6,894,16015.20673
762.275449,1000,16031.867362
867.509025,1000,16042.411418
424.271845,1000,16059.007209
851.456311,1000,16069.469896
896.563574,1000,16086.012912
520.37037,1000,16096.684126
538.888889,1000,16107.776
847.882736,1000,16124.219082
292.086331,1000,16134.386434
797.009967,1000,16151.168599
893.975904,1000,16162.322338
884.025559,1000,16178.855473
35.416667,1000,16189.304271
875.077882,1000,16206.238116
661.565836,1000,16216.584755
471.428571,1000,16233.309211
864.412811,1000,16243.701911
536.636637,1000,16260.366138
843.217666,1000,16271.081583
511.111111,1000,16287.82995
410.028653,1000,16298.477508
889.51049,1000,16314.729
730.188679,1000,16324.984773
601.067616,1000,16341.38445
521.875,1000,16352.348739
697.653959,1000,16369.111804
880.0,1000,16379.541964
702.047782,1000,16395.840245
796.428571,1000,16406.456188
584.88746,1000,16423.093249
911.9,881,16432.745647
683.783784,1000,16449.318984
910.2,898,16458.518491
628.476821,1000,16475.165219
877.777778,1000,16485.304425
924.4,756,16492.941626
757.142857,1000,16508.986061
543.636364,1000,16519.211114
852.02952,1000,16535.601635
714.814815,1000,16546.055169
649.185668,1000,16562.634373
885.347985,1000,16572.915093
753.530137,952,16950.189269
299.380805,1000,17426.200608
892.857143,1000,18043.176766
922.9,771,18383.460517
446.357616,1000,18402.089182
896.721311,1000,18413.464599
547.457627,1000,18765.74468
594.610778,1000,18776.690195
896.183206,1000,18898.886209
911.5,885,19661.527359
726.470588,1000,19680.8912
910.6,894,19693.252234
890.506329,1000,20011.86906
908.6,914,20065.338431
885.865724,1000,20078.510081
885.294118,1000,20206.026332
707.017544,1000,20218.214827
876.027397,1000,20237.085426
406.756757,1000,20248.246219
864.052288,1000,20265.807056
896.551724,1000,20276.658938
91.881919,1000,20293.986487
876.510067,1000,20304.765747
711.501597,1000,20321.374147
890.0,1000,20331.688279
866.9967,1000,20347.868163
854.703833,1000,20358.205578
916.1,839,20372.773698
549.842271,1000,20383.586051
876.470588,1000,20400.354573
872.696246,1000,20410.750125
839.849624,1000,20426.904865
784.726225,1000,20437.728585
857.627119,1000,20453.667657
864.912281,1000,20464.032913
869.69697,1000,20480.362527
879.522184,1000,20490.628762
840.520446,1000,20506.932823
877.61194,1000,20517.141917
838.983051,1000,20564.011602
878.26087,1000,20574.115425
863.934426,1000,20590.589564
887.138264,1000,20601.037373
771.382637,1000,20611.524402
908.8,912,20626.78373
688.732394,1000,20637.105367
906.5,935,20652.829985
623.127036,1000,20663.167969
769.281046,1000,20679.386803
848.881789,1000,20690.755024
889.473684,1000,21125.408466
865.944272,1000,21136.263859
872.413793,1000,21152.425879
768.243243,1000,21163.609439
911.9,881,21179.352286
852.054795,1000,21189.732777
912.0,880,21204.583825
905.1,949,21214.483488
843.75,1000,21230.943987
877.635783,1000,21241.676035
368.740127,855,21250.487738
516.393443,1000,21266.923165
903.8,962,21276.843558
884.962406,1000,21293.643971
896.69967,1000,21304.432902
887.012987,1000,21321.079319
845.859873,1000,21331.747289
865.944272,1000,21348.707273
914.6,854,21357.628364
920.0,800,21372.030077
901.7,983,21383.270918
827.33564,1000,21400.125718
867.845659,1000,21410.986333
889.547038,1000,21428.715086
861.977186,1000,21439.095767
16.363636,1000,21455.303936
893.220339,1000,21465.858738
900.8,992,21482.575002
896.666667,1000,21493.270891
906.0,940,21509.088225
846.996466,1000,21519.713901
875.862069,1000,21536.846555
847.368421,1000,21547.707487
892.805755,1000,21558.186404
907.4,926,21573.822443
912.9,871,21582.874477
653.943218,1000,21599.783994
865.517241,1000,21610.396166
826.153846,1000,21627.382431
569.117647,1000,21637.718594
656.329114,1000,21654.299537
856.043956,1000,21664.899925
909.5,905,21680.281256
909.4,906,21689.885446
852.238806,1000,21706.967939
900.0,1000,21717.359395
911.7,883,21732.684174
835.384615,1000,21743.49953
851.923077,1000,21760.264167
92.982456,1000,21770.250326
234.059322,796,21778.621714
406.21118,1000,21795.099942
866.9967,1000,21805.870419
915.8,842,21820.797363
330.508475,1000,21831.367818
101.438849,1000,21847.780039
800.332226,1000,21859.097472
855.32646,1000,21876.022913
786.666667,1000,21886.89976
888.721805,1000,21903.620579
870.29703,1000,21914.306275
859.409594,1000,21930.726034
901.7,983,21941.12945
829.104478,1000,21957.367705
920.9,791,21966.052471
889.43662,1000,21983.249446
467.375887,1000,21994.061972
662.962963,1000,22010.608
64.285714,1000,22020.700689
428.985507,1000,22037.005917
780.398671,1000,22047.544986
70.212766,1000,22063.909738
856.666667,1000,22074.373131
46.982609,379,22078.476684
853.488372,1000,22095.008543
847.712418,1000,22105.785663
888.505747,1000,22122.066198
-36.908517,1000,22132.331402
849.790795,1000,22148.656962
391.349481,1000,22161.124875
294.039735,1000,22406.902939
838.356164,1000,22483.357942
441.37931,1000,22510.032583
422.648084,1000,22527.122649
501.351351,1000,23415.604721
170.833333,1000,23426.322179
860.606061,1000,23443.255847
794.545455,1000,23454.202285
450.955414,1000,23472.196866
654.64684,1000,23482.756223
878.021978,1000,23493.460071
638.80597,1000,23509.70908
911.6,884,23519.040453
838.511327,1000,23535.617321
784.745763,1000,23546.382613
737.209302,1000,23564.350761
883.766234,1000,23575.131093
841.368078,1000,23591.803075
449.64539,1000,23602.378987
925.8,742,23616.322369
854.268293,1000,23626.999136
579.577465,1000,23643.413129
886.348123,1000,23653.800316
892.395437,1000,23670.458032
493.548387,1000,23681.145075
687.42515,1000,23697.853042
905.0,950,23707.749659
865.909091,1000,23724.126847
876.89769,1000,23734.815051
95.488722,1000,23750.961781
922.7,773,23759.044286
815.540541,1000,23769.560679
602.702703,1000,23786.31408
837.888199,1000,23797.116028
367.889908,1000,23813.828914
282.550336,1000,23824.420137
844.250871,1000,23841.106771
925.1,749,23849.209936
922.9,771,23863.242019
517.940199,1000,23873.681186
436.121673,1000,23889.800901
485.858586,1000,23900.070941
888.235294,1000,23916.887853
836.619718,1000,23927.288866
896.632997,1000,23943.909287
868.253968,1000,23954.401389
885.294118,1000,23970.995571
377.192982,1000,23981.505979
336.532508,1000,23991.940655
918.0,820,24006.586765
320.4947,1000,24016.766757
867.741935,1000,24033.493391
914.5,855,24042.417874
468.904594,1000,24058.799372
886.15917,1000,24069.273768
884.802432,1000,24085.97741
893.031359,1000,24097.013704
926.9,731,24110.74427
845.945946,1000,24120.962893
503.896104,1000,24137.55765
872.307692,1000,24148.36823
492.23301,1000,24165.008642
471.969697,1000,24175.19138
569.090909,1000,24191.62266
607.746479,1000,24202.076174
347.183099,1000,24218.728755
458.441558,1000,24229.277786
388.888889,1000,24239.726651
664.525994,1000,24256.539291
481.25,1000,24267.150898
868.641115,1000,24283.40724
874.358974,1000,24293.817293
625.752508,1000,24310.347465
867.509025,1000,24320.479495
857.198444,1000,24336.763926
887.138264,1000,24347.194727
848.453608,1000,24363.410797
875.524476,1000,24373.57248
655.033557,1000,24390.05468
882.993197,1000,24400.319729
597.986577,1000,24416.686527
889.285714,1000,24426.881836
859.866221,1000,24443.461654
845.512821,1000,24454.358396
827.272727,1000,24470.669693
889.090909,1000,24480.891562
917.8,822,24495.38881
329.553265,1000,24505.77371
396.969697,1000,24522.418442
512.244898,1000,24532.715807
910.4,896,24547.956856
910.5,895,24557.036909
886.531987,1000,24567.560562
823.076923,1000,24583.928383
792.508143,1000,24594.184789
707.807808,1000,24610.681236
30.632075,506,24615.653537
35.053381,501,24620.670154
844.250871,1000,24637.155601
795.522388,1000,24647.388314
